Distance_(µm),Gray_Value
0.0000000,0.6250
0.0020000,2.6180
0.0040000,5.0606
0.0060000,11.2002
0.0080000,30.9731
0.0100000,69.1586
0.0120000,96.3749
0.0140000,45.7975
0.0160000,12.3711
0.0180000,3.4171
0.0200000,4.2688
0.0220000,3.6524
0.0240000,2.0178
0.0260000,6.6425
0.0280000,23.6058
0.0300000,64.8949
0.0320000,73.2466
0.0340000,49.2109
0.0360000,14.1662
0.0380000,1.7885
0.0400000,0.0000
0.0420000,0.4002
0.0440000,1.2015
0.0460000,4.3968
0.0480000,20.9251
0.0500000,48.5000
0.0520000,59.8382
0.0540000,30.3446
0.0560000,12.2334
0.0580000,5.2704
0.0600000,4.7505
0.0620000,4.9114
0.0640000,8.8365
0.0660000,16.5273
0.0680000,32.4089
0.0700000,72.4014
0.0720000,97.2500
0.0740000,73.8711
0.0760000,29.6378
0.0780000,5.8238
0.0800000,0.6437
0.0820000,0.0000
0.0840000,0.0000
0.0860000,0.0000
