"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty [nm]"
4.0,1556.895108498571,3015.1926816221608,131.83343505786837,43614.895855335606,304.39339409334997,53.29475498469711,128.62716048579452,1.1352024365154743
56.0,1531.116137931749,3075.405400825556,131.14026506081856,5747.513243182462,304.85786279118713,34.440892192975774,142.5004454925671,4.096579240014558
110.0,1532.6330811063053,3074.8175994701587,131.50929456075613,62768.34266918955,305.2868475087026,40.555909080742374,126.71752310130498,0.8412139873542954
111.0,1558.9835652112147,3066.688544482032,133.35503804544678,80305.28065843636,301.35864217405833,93.88236303908812,174.35317679863587,0.9454140421966098
112.0,1549.4322043305394,3068.6522034638965,132.3596663340445,80356.96738229743,300.4204667035846,60.57655961529124,157.50025994316775,0.7961228093737565
113.0,1602.0322993988864,3054.9200864670947,130.98608333685493,30223.6563392892,298.21608336058483,35.7258068827785,114.43199691515413,1.268758501844784
114.0,1600.5712017439478,3054.7187544724675,131.00589754028772,29994.313905588217,303.01226887401305,35.66898098880123,122.85810838281436,1.2745422635640813
149.0,1543.1286343397928,3030.0936268976516,132.0890470419062,15573.641044057611,300.74727486762663,33.351318807407054,108.91880681064644,1.9360364805024521
150.0,1539.7153676414432,3027.1045118411566,132.9188216905631,13121.113964115148,297.7143940854163,32.815707076420196,104.0135624308736,2.1845647854813186
151.0,1544.3244905655974,3029.671091823887,130.80196476086152,14953.780018712432,302.4609211072741,40.92766808577793,136.44560919027032,2.1409484884104573
152.0,1542.8019992853365,3031.8407939267763,130.72339789512444,15322.879272122369,310.6808060508657,35.09806887951602,106.99086922165625,1.9682153296561615
153.0,1544.5964048946078,3026.569488474354,126.76835773411229,15039.682724263248,309.25371433981536,36.35428335903308,106.38433616314852,1.9391506967908294
154.0,1546.2870071928103,3030.9909243507223,133.570227460921,15324.811198733621,299.36761236592696,29.585216776157665,108.21151210104186,1.9058452075623527
194.0,1512.942681553054,3022.0912081553743,185.15240935377494,1032.2168478105386,293.373610127697,28.52527515619612,107.4173291723666,30.815740366830273
