Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,1.6310
0.0060000,7.9707
0.0080000,27.9549
0.0100000,56.5773
0.0120000,40.3189
0.0140000,16.7309
0.0160000,1.5278
0.0180000,1.2592
0.0200000,4.1548
0.0220000,7.1250
0.0240000,8.4158
0.0260000,18.5386
0.0280000,51.0556
0.0300000,82.8323
0.0320000,96.9320
0.0340000,49.8968
0.0360000,17.4133
0.0380000,5.8402
0.0400000,4.9643
0.0420000,6.9844
0.0440000,11.2236
0.0460000,20.6281
0.0480000,44.5204
0.0500000,80.1581
0.0520000,50.0748
0.0540000,19.8166
0.0560000,5.0139
0.0580000,0.9699
0.0600000,0.0000
0.0620000,0.8096
0.0640000,3.2783
0.0660000,9.8960
0.0680000,37.9966
0.0700000,67.6597
0.0720000,72.6811
0.0740000,31.5501
0.0760000,7.4685
0.0780000,1.4821
0.0800000,1.7619
0.0820000,1.3613
0.0840000,0.5000
