Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,2.2143
0.0060000,12.8214
0.0080000,36.3095
0.0100000,59.4762
0.0120000,54.5000
0.0140000,30.6042
0.0160000,6.8333
0.0180000,1.4107
0.0200000,0.4762
0.0220000,0.3720
0.0240000,1.4286
0.0260000,13.1994
0.0280000,39.5000
0.0300000,55.5536
0.0320000,50.8571
0.0340000,28.1101
0.0360000,13.0000
0.0380000,2.7381
0.0400000,1.5952
0.0420000,1.5625
0.0440000,1.4048
0.0460000,8.9643
0.0480000,33.6429
0.0500000,54.8810
0.0520000,40.6667
0.0540000,19.8125
0.0560000,5.8333
0.0580000,1.6637
0.0600000,1.5000
0.0620000,3.7500
0.0640000,5.0952
0.0660000,10.0536
0.0680000,40.5000
0.0700000,79.6042
0.0720000,89.3571
0.0740000,36.3125
0.0760000,12.6190
0.0780000,4.3661
0.0800000,0.9286
0.0820000,0.0000
0.0840000,0.0000
