Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,0.4796
0.0060000,3.1872
0.0080000,15.2896
0.0100000,47.9490
0.0120000,81.5111
0.0140000,73.4872
0.0160000,32.4900
0.0180000,7.0540
0.0200000,2.7238
0.0220000,3.7531
0.0240000,4.7534
0.0260000,5.7683
0.0280000,10.8786
0.0300000,42.0190
0.0320000,89.7699
0.0340000,91.0731
0.0360000,47.8116
0.0380000,22.4324
0.0400000,7.7713
0.0420000,1.3582
0.0440000,2.7134
0.0460000,5.8501
0.0480000,11.7011
0.0500000,32.7536
0.0520000,54.7493
0.0540000,39.5757
0.0560000,14.4604
0.0580000,0.9695
0.0600000,0.7744
0.0620000,1.9206
0.0640000,3.7561
0.0660000,5.7145
0.0680000,17.7119
0.0700000,47.7385
0.0720000,72.8479
0.0740000,70.0476
0.0760000,24.1365
0.0780000,7.2755
0.0800000,5.8989
0.0820000,5.2500
