Distance_(µm),Gray_Value
0.0000000,0.0000
0.0020000,0.0000
0.0040000,0.4417
0.0060000,4.2130
0.0080000,20.8067
0.0100000,50.2366
0.0120000,67.4819
0.0140000,52.9918
0.0160000,18.7272
0.0180000,6.5596
0.0200000,1.8535
0.0220000,0.0434
0.0240000,0.2951
0.0260000,5.5192
0.0280000,22.6227
0.0300000,51.0290
0.0320000,80.7493
0.0340000,53.9816
0.0360000,27.2686
0.0380000,8.3505
0.0400000,1.9256
0.0420000,8.8070
0.0440000,9.1414
0.0460000,5.4588
0.0480000,7.6028
0.0500000,34.6880
0.0520000,52.1380
0.0540000,38.8816
0.0560000,7.3218
0.0580000,0.7830
0.0600000,1.7341
0.0620000,2.7989
0.0640000,1.6596
0.0660000,4.7719
0.0680000,25.2757
0.0700000,50.0778
0.0720000,62.9390
0.0740000,36.3349
0.0760000,17.4890
0.0780000,5.4810
0.0800000,0.7092
0.0820000,0.0000
