Distance_(µm),Gray_Value
0.0000000,2.3750
0.0020000,0.8839
0.0040000,0.0000
0.0060000,0.0000
0.0080000,8.2679
0.0100000,31.7321
0.0120000,65.6786
0.0140000,75.7500
0.0160000,40.7500
0.0180000,10.7054
0.0200000,0.4821
0.0220000,0.0000
0.0240000,0.0000
0.0260000,2.5089
0.0280000,11.2500
0.0300000,39.8571
0.0320000,70.3929
0.0340000,74.7857
0.0360000,43.1964
0.0380000,15.8393
0.0400000,2.8125
0.0420000,0.5625
0.0440000,0.0714
0.0460000,0.9464
0.0480000,8.4018
0.0500000,26.6429
0.0520000,51.7679
0.0540000,55.8571
0.0560000,28.6250
0.0580000,5.9286
0.0600000,0.3214
0.0620000,0.2321
0.0640000,1.5625
0.0660000,5.5536
0.0680000,13.0893
0.0700000,39.6250
0.0720000,84.0000
0.0740000,95.1339
0.0760000,57.6786
0.0780000,17.1607
0.0800000,7.1964
0.0820000,3.4821
0.0840000,0.7500
